,id,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms_text,bedrooms,beds,wifi,private_entrance,closet,cable_tv,dedicated_workspace,smart_lock,smoke_alarm,security_cameras,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month
6907,33246931.0,within an hour,1.0,1.0,False,14,True,True,Miguel Hidalgo,19.43606,-99.19521,Hotel room,4,1.0,2.0,2.0,True,False,True,False,False,False,True,True,1200.0,3,1125,0,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,f,8,0.0
6981,33366224.0,unknown,0.0,0.5,False,5,True,True,Benito JuÃ¡rez,19.37099,-99.18776,Hotel room,2,1.0,1.0,1.0,True,False,False,False,False,False,False,False,880.0,1,600,83,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,t,5,0.03
6983,33366824.0,unknown,0.0,0.5,False,5,True,True,Benito JuÃ¡rez,19.37123,-99.18814,Hotel room,2,1.0,1.0,1.0,True,False,False,True,False,False,False,False,790.0,1,700,264,4,0,5.0,5.0,5.0,5.0,4.75,5.0,5.0,t,5,0.1
6984,33367267.0,unknown,0.0,0.5,False,5,True,True,Benito JuÃ¡rez,19.37109,-99.18977,Hotel room,2,1.0,1.0,1.0,True,False,False,False,False,False,False,False,890.0,1,600,83,2,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,t,5,0.06
6991,33370974.0,within an hour,1.0,1.0,False,112,True,True,CuauhtÃ©moc,19.44056,-99.14384,Hotel room,1,1.5,1.0,1.0,True,False,False,False,True,False,False,True,234.0,1,1125,361,71,51,4.65,4.68,4.42,4.87,4.82,4.8,4.68,t,23,1.69
7000,33612766.0,within a few hours,0.71,0.93,False,5,True,True,CuauhtÃ©moc,19.40741,-99.13596,Hotel room,1,1.0,1.0,8.0,True,False,False,True,False,False,True,True,260.0,1,31,179,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,5,0.03
7027,33644111.0,within an hour,1.0,1.0,True,6,True,True,CuauhtÃ©moc,19.41425,-99.16339,Hotel room,2,1.0,1.0,1.0,True,False,False,False,False,False,True,True,7988.0,10,29,311,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,t,6,0.0
7080,33720782.0,within an hour,1.0,0.95,False,8,True,True,Miguel Hidalgo,19.41337,-99.18208,Hotel room,2,1.5,1.0,1.0,True,False,False,False,False,False,True,True,950.0,2,1125,328,9,4,4.89,4.33,4.56,5.0,4.56,4.67,4.56,t,7,0.23
7209,34180504.0,within an hour,1.0,1.0,False,4,True,True,CuauhtÃ©moc,19.42951,-99.13864,Hotel room,2,1.0,1.0,1.0,True,False,False,False,False,False,True,True,2144.0,1,1125,303,1,0,0.0,4.78,4.75,4.83,4.81,4.84,4.72,t,4,0.03
7249,34305556.0,within an hour,1.0,0.88,False,16,True,True,Ãlvaro ObregÃ³n,19.36207,-99.18787,Hotel room,2,1.0,1.0,1.0,True,False,False,False,False,False,False,True,1099.0,1,1125,365,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,t,16,0.0
7268,34596040.0,within an hour,1.0,1.0,False,112,True,True,CuauhtÃ©moc,19.44258,-99.1431,Hotel room,1,1.5,1.0,1.0,True,False,False,False,True,False,True,True,271.0,1,1125,362,2,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,t,23,0.05
7278,34368867.0,within a few hours,0.71,0.93,False,5,True,True,CuauhtÃ©moc,19.411,-99.13267,Hotel room,1,1.0,1.0,1.0,True,False,False,True,False,False,True,False,250.0,1,31,178,2,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,t,5,0.06
7280,34368892.0,within a few hours,0.71,0.93,False,5,True,True,CuauhtÃ©moc,19.40991,-99.13501,Hotel room,1,2.0,1.0,8.0,True,False,False,True,False,False,True,False,250.0,1,31,179,1,1,5.0,5.0,5.0,4.0,5.0,5.0,5.0,f,5,0.39
7281,34368906.0,within a few hours,0.71,0.93,False,5,True,True,CuauhtÃ©moc,19.40959,-99.13478,Hotel room,1,2.0,1.0,8.0,True,False,False,True,False,False,True,False,250.0,1,31,180,2,2,4.0,4.5,3.5,5.0,5.0,4.0,5.0,t,5,0.19
7282,34368926.0,within a few hours,0.71,0.93,False,5,True,True,CuauhtÃ©moc,19.4099,-99.13487,Hotel room,1,2.0,1.0,8.0,True,False,False,True,False,False,True,False,250.0,1,31,180,2,0,3.0,2.5,3.0,2.5,3.0,2.0,3.0,f,5,0.06
7285,34621455.0,within a few hours,1.0,0.79,True,16,True,True,CuauhtÃ©moc,19.41008,-99.17827,Hotel room,3,1.0,1.0,1.0,True,False,False,True,False,False,False,False,2600.0,1,365,332,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,t,12,0.0
