,id,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms_text,bedrooms,beds,wifi,private_entrance,closet,cable_tv,dedicated_workspace,smart_lock,smoke_alarm,security_cameras,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month
14190,50427402.0,within a few hours,0.98,0.9,True,76,True,True,CuauhtÃ©moc,19.45951,-99.14853,Shared room,1,3.0,1.0,1.0,True,False,False,False,True,False,False,False,200.0,28,365,365,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,False,76,0.0
14191,50428065.0,within a few hours,0.98,0.9,True,76,True,True,CuauhtÃ©moc,19.45931,-99.14714,Shared room,1,3.0,1.0,1.0,True,False,False,False,True,False,False,False,200.0,28,365,365,1,0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,False,76,0.07
14202,50440690.0,unknown,0.0,0.0,False,1,True,True,Benito JuÃ¡rez,19.367252,-99.149483,Shared room,6,1.0,1.0,6.0,True,False,True,False,True,False,False,False,350.0,1,90,90,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,False,1,0.0
14212,50444420.0,within a few hours,0.98,0.9,True,76,True,True,CuauhtÃ©moc,19.46369,-99.14541,Shared room,1,2.5,1.0,1.0,True,False,False,True,True,False,False,False,201.0,28,365,365,2,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,76,0.14
14536,51112386.0,within an hour,0.95,0.85,False,14,True,True,CuauhtÃ©moc,19.43188,-99.16248,Shared room,1,1.0,1.0,1.0,True,False,False,False,True,False,False,False,300.0,1,1125,348,12,11,4.75,5.0,4.75,5.0,5.0,5.0,4.92,False,14,0.92
14822,51486729.0,within an hour,1.0,0.89,False,1,True,True,Iztacalco,19.39316,-99.1042,Shared room,2,1.0,1.0,4.0,True,False,True,True,True,False,False,False,400.0,2,30,351,3,3,5.0,4.67,5.0,5.0,4.67,5.0,5.0,False,1,0.25
15082,51927134.0,within an hour,1.0,1.0,True,8,True,True,CuauhtÃ©moc,19.41503,-99.15243,Shared room,1,1.0,1.0,1.0,True,False,False,False,True,False,False,False,275.0,3,365,328,3,3,5.0,5.0,4.67,5.0,5.0,5.0,5.0,True,8,0.34
15150,52130192.0,a few days or more,0.0,0.0,False,1,True,True,CuauhtÃ©moc,19.45156,-99.15909,Shared room,4,1.0,1.0,4.0,False,False,True,False,True,False,False,True,300.0,3,30,90,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,True,1,0.0
15294,52372987.0,within a day,0.67,0.5,False,1,True,True,Iztacalco,19.39141,-99.07033,Shared room,2,1.0,1.0,3.0,True,False,False,False,True,False,True,False,1214.0,1,30,359,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,False,1,0.0
15322,52272038.0,within a few hours,0.98,0.9,True,76,True,True,CuauhtÃ©moc,19.45963,-99.14687,Shared room,1,3.0,1.0,1.0,True,False,False,False,True,False,False,False,200.0,28,365,365,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,False,76,0.0
15324,52272055.0,within a few hours,0.98,0.9,True,76,True,True,CuauhtÃ©moc,19.46151,-99.14859,Shared room,1,3.0,1.0,1.0,True,False,False,False,True,False,False,False,200.0,28,365,180,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,False,76,0.0
15326,52272472.0,within a few hours,0.98,0.9,True,76,True,True,CuauhtÃ©moc,19.46147,-99.14649,Shared room,1,3.0,1.0,1.0,True,False,False,False,True,False,False,False,200.0,28,365,180,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,False,76,0.0
15367,52409031.0,within an hour,1.0,1.0,True,5,True,True,CoyoacÃ¡n,19.33639,-99.18367,Shared room,2,1.0,1.0,2.0,True,False,True,False,True,False,True,False,400.0,1,1125,293,35,35,4.86,4.89,4.83,4.94,4.8,4.91,4.89,True,5,3.12
15368,52310214.0,within a few hours,0.98,0.9,True,76,True,True,CuauhtÃ©moc,19.46074,-99.14842,Shared room,1,3.0,1.0,1.0,True,False,False,False,True,False,False,False,200.0,28,365,365,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,False,76,0.0
15370,52310342.0,within a few hours,0.98,0.9,True,76,True,True,CuauhtÃ©moc,19.46101,-99.1463,Shared room,1,4.0,1.0,1.0,True,False,False,False,True,False,False,False,200.0,28,365,365,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,False,76,0.0
15494,52521142.0,within a few hours,0.98,0.9,True,76,True,True,CuauhtÃ©moc,19.46266,-99.14386,Shared room,1,2.5,1.0,1.0,True,False,False,True,True,False,False,False,203.0,28,365,365,2,2,5.0,5.0,4.5,5.0,5.0,5.0,5.0,False,76,0.26
15595,52715999.0,within an hour,1.0,1.0,True,8,True,True,CuauhtÃ©moc,19.41419,-99.15459,Shared room,1,1.0,1.0,1.0,True,False,False,False,True,False,False,False,275.0,3,1125,332,7,7,5.0,4.71,4.71,4.71,5.0,5.0,4.86,True,8,0.68
15678,52792185.0,within a day,1.0,0.33,False,1,True,False,CuauhtÃ©moc,19.43495369,-99.13234711,Shared room,7,1.5,1.0,15.0,True,False,False,True,True,False,True,True,350.0,2,365,358,1,1,4.0,5.0,4.0,5.0,4.0,5.0,4.0,False,1,0.09
15707,52743087.0,within an hour,0.88,0.99,False,10,True,True,CuauhtÃ©moc,19.43375,-99.14331,Shared room,9,3.0,1.0,9.0,True,False,False,False,True,False,True,True,240.0,1,30,363,1,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,10,0.1
15832,52940096.0,within an hour,0.88,0.99,False,10,True,True,CuauhtÃ©moc,19.43433,-99.14387,Shared room,9,3.0,1.0,9.0,True,False,False,False,True,False,True,True,240.0,1,365,364,2,2,4.5,5.0,5.0,5.0,5.0,5.0,5.0,True,10,0.18
15833,52940149.0,within an hour,0.88,0.99,False,10,True,True,CuauhtÃ©moc,19.43536,-99.1426,Shared room,9,3.0,1.0,9.0,True,False,False,False,True,False,True,True,240.0,1,365,364,21,21,4.71,4.76,4.57,4.86,4.81,4.9,4.76,True,10,1.96
15834,52940196.0,within an hour,0.88,0.99,False,10,True,True,CuauhtÃ©moc,19.43349,-99.14422,Shared room,9,3.0,1.0,9.0,True,False,False,False,True,False,True,True,240.0,1,365,365,4,4,4.0,3.75,4.25,5.0,4.5,5.0,3.75,True,10,0.37
15836,52940221.0,within an hour,0.88,0.99,False,10,True,True,CuauhtÃ©moc,19.43385,-99.14537,Shared room,9,3.0,1.0,9.0,True,False,False,False,True,False,True,True,240.0,1,365,365,7,7,4.86,5.0,4.71,5.0,4.86,5.0,4.86,True,10,0.64
15839,52940250.0,within an hour,0.88,0.99,False,10,True,True,CuauhtÃ©moc,19.4327,-99.14509,Shared room,9,3.0,1.0,9.0,True,False,False,False,True,False,True,True,240.0,1,365,364,3,3,5.0,4.67,5.0,5.0,5.0,5.0,5.0,True,10,0.91
15840,52940283.0,within an hour,0.88,0.99,False,10,True,True,CuauhtÃ©moc,19.43236,-99.14391,Shared room,9,3.0,1.0,9.0,True,False,False,False,True,False,True,True,240.0,1,365,365,8,8,4.38,4.88,4.63,5.0,4.5,5.0,4.5,True,10,0.75
16049,53127332.0,a few days or more,0.0,0.5,False,1,True,True,Venustiano Carranza,19.45005,-99.11786,Shared room,1,1.0,1.0,1.0,True,False,False,False,True,False,False,False,208.0,1,5,362,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,False,1,0.0
16174,53284896.0,within an hour,0.88,0.99,False,10,True,True,CuauhtÃ©moc,19.43205,-99.14396,Shared room,9,3.0,1.0,9.0,True,False,False,False,True,False,True,False,330.0,1,1125,365,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,True,10,0.0
16271,53450639.0,within an hour,0.88,0.99,False,10,True,True,CuauhtÃ©moc,19.43227,-99.14498,Shared room,9,3.0,1.0,9.0,True,False,False,False,True,False,True,True,240.0,1,1125,365,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,True,10,0.0
16368,53531303.0,within a few hours,0.7,0.85,False,1,True,False,CuauhtÃ©moc,19.43423,-99.13508,Shared room,1,1.0,1.0,1.0,True,False,False,False,False,False,False,False,215.0,1,365,352,9,9,4.33,4.33,4.22,4.78,4.78,5.0,4.78,True,1,0.91
16452,53665268.0,within an hour,0.88,0.99,False,10,True,True,CuauhtÃ©moc,19.43223,-99.14402,Shared room,9,0.0,1.0,9.0,True,False,False,False,True,False,True,True,240.0,1,1125,361,6,6,4.67,5.0,4.83,5.0,5.0,4.83,4.83,True,10,0.89
16477,53688697.0,unknown,0.0,0.0,False,1,True,True,CuauhtÃ©moc,19.4241,-99.15868,Shared room,6,1.0,1.0,9.0,True,False,False,False,False,False,False,False,220.0,365,1125,365,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,True,1,0.0
16596,53846320.0,within an hour,0.99,1.0,False,20,True,True,CuauhtÃ©moc,19.42932,-99.13523,Shared room,1,1.0,1.0,1.0,True,False,False,False,True,False,True,True,297.0,1,365,354,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,True,20,0.0
16814,53991639.0,within a day,0.5,0.0,False,1,True,True,Gustavo A. Madero,19.47318,-99.09522,Shared room,1,1.0,1.0,1.0,True,False,False,False,True,False,False,False,220.0,7,1125,365,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,False,1,0.0
16968,54250852.0,within an hour,1.0,0.99,False,27,True,True,CuauhtÃ©moc,19.41074,-99.179596,Shared room,4,2.5,1.0,1.0,True,False,False,False,True,False,True,False,204.0,1,365,83,15,15,4.67,4.87,4.6,4.87,4.8,4.87,4.8,True,20,1.84
16995,54181226.0,within an hour,1.0,0.99,False,27,True,True,CuauhtÃ©moc,19.41074,-99.179596,Shared room,1,1.5,1.0,2.0,True,False,False,False,False,False,True,False,205.0,1,365,179,28,28,4.64,4.86,4.61,4.82,4.89,4.93,4.82,True,20,3.36
17006,54184870.0,within an hour,1.0,0.99,False,27,True,True,CuauhtÃ©moc,19.41074,-99.179596,Shared room,3,2.5,1.0,1.0,True,False,False,False,False,False,True,False,173.0,1,365,358,40,40,4.85,4.93,4.68,4.8,4.75,4.95,4.83,True,20,4.65
17030,54281215.0,unknown,0.0,0.0,False,7,True,False,CuauhtÃ©moc,19.41315,-99.16271,Shared room,1,1.0,1.0,1.0,True,False,False,False,True,False,False,True,210.0,1,365,365,2,2,4.0,4.5,4.5,5.0,5.0,5.0,5.0,True,3,0.35
17033,54283108.0,unknown,0.0,0.0,False,7,True,False,CuauhtÃ©moc,19.4127,-99.16393,Shared room,1,1.0,1.0,1.0,True,False,False,False,False,False,False,True,205.0,1,365,362,1,1,1.0,1.0,2.0,2.0,2.0,3.0,1.0,True,3,0.16
17188,5.45e+17,within an hour,1.0,0.78,False,9,True,True,Benito JuÃ¡rez,19.38099,-99.17696,Shared room,16,7.0,1.0,16.0,True,False,False,False,False,False,False,False,247.0,1,365,365,6,6,5.0,5.0,5.0,4.83,5.0,5.0,4.83,False,9,0.75
17190,5.45e+17,within an hour,1.0,0.99,False,27,True,True,CuauhtÃ©moc,19.41074,-99.179596,Shared room,3,2.5,1.0,1.0,True,False,False,False,True,False,True,False,174.0,1,365,335,17,17,4.53,4.94,4.59,4.88,4.76,4.94,4.76,True,20,2.27
17192,5.45e+17,within an hour,1.0,0.99,False,27,True,True,CuauhtÃ©moc,19.41074,-99.179596,Shared room,3,2.5,1.0,1.0,True,False,False,False,True,False,True,False,174.0,1,365,348,17,17,4.71,4.76,4.71,4.76,4.41,4.94,4.76,True,20,2.29
17233,5.47e+17,within an hour,1.0,0.95,True,7,True,True,Miguel Hidalgo,19.44705,-99.20225,Shared room,1,1.5,1.0,1.0,True,False,False,False,True,False,False,False,250.0,1,15,341,13,13,5.0,5.0,4.92,5.0,5.0,4.69,5.0,True,7,1.67
17440,5.57e+17,unknown,0.0,0.0,False,1,True,True,Tlalpan,19.29762,-99.22793,Shared room,4,1.0,1.0,2.0,True,False,False,False,False,False,False,False,1100.0,1,365,365,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,True,1,0.0
17654,5.69e+17,unknown,0.0,0.0,False,1,True,True,CuauhtÃ©moc,19.4062,-99.14475,Shared room,2,1.5,1.0,1.0,True,False,False,False,False,False,True,False,28000.0,1,365,365,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,True,1,0.0
17844,5.77e+17,within an hour,1.0,0.98,True,17,True,False,Ãlvaro ObregÃ³n,19.35192,-99.19322,Shared room,1,1.0,1.0,1.0,True,False,True,False,True,False,False,False,350.0,3,365,361,1,1,5.0,5.0,4.0,5.0,5.0,5.0,5.0,True,17,0.88
17847,5.77e+17,within an hour,1.0,0.98,True,17,True,False,Ãlvaro ObregÃ³n,19.35194,-99.19272,Shared room,1,1.0,1.0,1.0,True,False,False,False,True,False,False,False,350.0,3,365,362,2,2,4.5,5.0,4.0,5.0,5.0,5.0,4.5,True,17,0.56
17850,5.77e+17,within an hour,1.0,0.98,True,17,True,False,Ãlvaro ObregÃ³n,19.35348,-99.1933,Shared room,1,1.0,1.0,1.0,True,False,False,False,True,False,False,False,350.0,3,365,365,2,2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,17,0.33
17874,5.75e+17,within a day,0.9,0.76,False,7,True,False,Venustiano Carranza,19.409782,-99.082001,Shared room,1,1.0,1.0,5.0,True,False,False,False,False,False,False,False,350.0,1,365,356,2,2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,2,0.35
18203,5.91e+17,within an hour,1.0,0.95,True,7,True,True,Miguel Hidalgo,19.44534,-99.20399,Shared room,1,1.5,1.0,1.0,True,False,False,False,True,False,False,False,250.0,1,15,338,11,11,4.91,4.64,4.55,4.73,5.0,4.64,4.82,True,7,1.9
