,id,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms_text,bedrooms,beds,amenities,wifi,private_entrance,closet,cable_tv,dedicated_workspace,smart_lock,smoke_alarm,security_cameras,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month
11739,34569396.0,within a day,0.9,0.79,False,3.0,True,False,MaracanÃ£,-22.91362,-43.23129,Hotel room,6,1.0,1.0,4.0,"[""Bed linens"", ""Fire extinguisher"", ""Cooking basics"", ""Luggage dropoff allowed"", ""Breakfast"", ""Microwave"", ""Refrigerator"", ""Room-darkening shades"", ""Laundromat nearby"", ""Oven"", ""Hot water"", ""Wifi"", ""Window AC unit"", ""Dishes and silverware"", ""Kitchen"", ""Stove"", ""BBQ grill"", ""Patio or balcony"", ""Long term stays allowed"", ""TV""]",True,False,False,False,False,False,False,False,85,1,1125,359,7,4,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,3,0.17
11782,34668638.0,within a day,0.9,0.79,False,3.0,True,False,MaracanÃ£,-22.91323,-43.23233,Hotel room,8,1.0,1.0,6.0,"[""Fire extinguisher"", ""First aid kit"", ""Breakfast"", ""Wifi"", ""Window AC unit"", ""Long term stays allowed"", ""TV""]",True,False,False,False,False,False,False,False,85,1,1125,262,0,0,4.72,4.8,4.72,4.88,4.87,4.87,4.68,False,3,0.0
11805,34084628.0,within an hour,0.9,0.95,False,5.0,True,True,Leme,-22.95978,-43.16853,Hotel room,2,1.0,1.0,2.0,"[""Hangers"", ""Dedicated workspace"", ""Cooking basics"", ""Hair dryer"", ""Iron"", ""Essentials"", ""Washer"", ""Coffee maker"", ""Refrigerator"", ""Building staff"", ""Outdoor dining area"", ""Hot water"", ""Wifi"", ""BBQ grill"", ""Dishes and silverware"", ""Kitchen"", ""Stove"", ""Long term stays allowed"", ""TV""]",True,False,False,False,True,False,False,False,122,2,31,1,8,4,5.0,5.0,4.75,5.0,5.0,4.88,5.0,True,5,0.2
11951,35602210.0,within an hour,1.0,0.97,False,4.0,True,True,Santa Teresa,-22.91362,-43.19145,Hotel room,2,1.0,1.0,1.0,"[""Dedicated workspace"", ""Iron"", ""Essentials"", ""Paid valet parking on premises"", ""Room-darkening shades"", ""Smoke alarm"", ""High chair"", ""Elevator"", ""Conditioner"", ""Shared gym in building"", ""Bed linens"", ""Hair dryer"", ""Luggage dropoff allowed"", ""Ethernet connection"", ""Shampoo"", ""Clothing storage: wardrobe"", ""Wifi"", ""Carbon monoxide alarm"", ""TV with standard cable"", ""Shared indoor pool - rooftop"", ""Body soap"", ""Cable TV"", ""Hangers"", ""Laundromat nearby"", ""Refrigerator"", ""Crib"", ""Safe"", ""Air conditioning"", ""Fire extinguisher"", ""Breakfast"", ""Hot water"", ""Long term stays allowed""]",True,False,True,True,True,False,True,False,274,1,1125,348,13,1,4.67,4.83,5.0,4.58,4.58,4.5,4.75,True,4,0.36
11952,35602213.0,within an hour,1.0,0.97,False,4.0,True,True,Centro,-22.912781,-43.191109,Hotel room,3,1.0,1.0,3.0,"[""Dedicated workspace"", ""Iron"", ""Essentials"", ""Paid valet parking on premises"", ""Room-darkening shades"", ""Smoke alarm"", ""High chair"", ""Elevator"", ""Conditioner"", ""Bed linens"", ""Hair dryer"", ""Luggage dropoff allowed"", ""Cleaning before checkout"", ""Shampoo"", ""Wifi"", ""Shared indoor pool"", ""Carbon monoxide alarm"", ""Mini fridge"", ""TV with standard cable"", ""Cable TV"", ""Hangers"", ""Extra pillows and blankets"", ""Laundromat nearby"", ""Refrigerator"", ""Shared gym nearby"", ""Crib"", ""Safe"", ""Air conditioning"", ""Fire extinguisher"", ""First aid kit"", ""Breakfast"", ""Hot water"", ""Long term stays allowed""]",True,False,False,True,True,False,True,False,392,1,1125,353,5,4,4.6,4.6,4.4,4.6,4.6,4.2,4.4,True,4,0.36
11953,35602220.0,within an hour,1.0,0.97,False,4.0,True,True,Centro,-22.91195,-43.19048,Hotel room,4,1.0,1.0,3.0,"[""Air conditioning"", ""Dedicated workspace"", ""Hair dryer"", ""Iron"", ""Essentials"", ""Ethernet connection"", ""Refrigerator"", ""Wifi"", ""Crib"", ""Long term stays allowed"", ""TV""]",True,False,False,False,True,False,False,False,503,1,1125,353,0,0,4.72,4.8,4.72,4.88,4.87,4.87,4.68,True,4,0.0
11957,35602225.0,within an hour,1.0,0.97,False,4.0,True,True,Centro,-22.912781,-43.191109,Hotel room,5,1.0,1.0,4.0,"[""Dedicated workspace"", ""Iron"", ""Essentials"", ""Paid valet parking on premises"", ""Room-darkening shades"", ""Smoke alarm"", ""High chair"", ""Elevator"", ""Conditioner"", ""Bed linens"", ""Hair dryer"", ""Luggage dropoff allowed"", ""Ethernet connection"", ""Shampoo"", ""Security cameras on property"", ""Clothing storage: wardrobe"", ""Wifi"", ""Shared indoor pool"", ""Carbon monoxide alarm"", ""TV with standard cable"", ""Body soap"", ""Cable TV"", ""Hangers"", ""Extra pillows and blankets"", ""Shared gym nearby"", ""Refrigerator"", ""Crib"", ""Safe"", ""Air conditioning"", ""Fire extinguisher"", ""Breakfast"", ""Hot water"", ""Long term stays allowed""]",True,False,True,True,True,False,True,True,654,1,1125,352,5,3,4.8,5.0,5.0,5.0,5.0,4.6,4.2,True,4,0.35
12141,37087527.0,within an hour,1.0,1.0,True,13.0,True,True,JacarepaguÃ¡,-22.97388,-43.41367,Hotel room,2,1.0,2.0,1.0,"[""Dryer"", ""Dedicated workspace"", ""Iron"", ""Essentials"", ""Washer"", ""Room-darkening shades"", ""Smoke alarm"", ""Elevator"", ""Shared gym in building"", ""Bed linens"", ""Hair dryer"", ""Luggage dropoff allowed"", ""Shampoo"", ""Wifi"", ""TV with standard cable"", ""Free parking on premises"", ""Cable TV"", ""Shared fenced garden or backyard"", ""Hangers"", ""Extra pillows and blankets"", ""Building staff"", ""Refrigerator"", ""Outdoor furniture"", ""Fire extinguisher"", ""AC - split type ductless system"", ""Shared patio or balcony"", ""Hot water"", ""Long term stays allowed"", ""Shared pool"", ""Shared hot tub""]",True,False,False,True,True,False,True,False,278,2,90,333,37,13,4.73,4.84,4.59,4.76,4.7,4.54,4.62,True,13,1.0
12226,37905741.0,within an hour,1.0,1.0,False,3.0,True,True,Barra da Tijuca,-22.97387,-43.39054,Hotel room,2,1.0,1.0,1.0,"[""Air conditioning"", ""Essentials"", ""Ethernet connection"", ""Wifi"", ""Long term stays allowed"", ""TV""]",True,False,False,False,False,False,False,False,444,1,1125,350,0,0,4.72,4.8,4.72,4.88,4.87,4.87,4.68,True,3,0.0
12227,37905870.0,within an hour,1.0,1.0,False,3.0,True,True,Barra da Tijuca,-22.97324,-43.39169,Hotel room,2,1.0,1.0,2.0,"[""Air conditioning"", ""Hair dryer"", ""Essentials"", ""Ethernet connection"", ""Refrigerator"", ""Wifi"", ""Long term stays allowed"", ""TV""]",True,False,False,False,False,False,False,False,444,1,1125,341,1,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,3,0.64
