,id,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms_text,bedrooms,beds,wifi,private_entrance,closet,cable_tv,dedicated_workspace,smart_lock,smoke_alarm,security_cameras,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month
21192,6.85e+17,within a few hours,1.0,1.0,False,4,True,True,La Magdalena Contreras,19.3186251,-99.2300854,Entire home/apt,7,2.5,2.0,2.0,True,False,False,False,False,False,False,False,1528.0,3,365,354,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,True,4,0.0
21193,6.85e+17,within an hour,1.0,0.98,False,16,True,True,Miguel Hidalgo,19.43505482,-99.19062962,Entire home/apt,11,2.0,3.0,5.0,True,True,True,False,True,False,True,False,2393.0,1,365,32,2,2,5.0,5.0,4.5,5.0,5.0,5.0,5.0,False,13,1.22
21194,6.85e+17,within an hour,1.0,0.99,False,38,True,True,Benito JuÃ¡rez,19.3899036,-99.1517123,Entire home/apt,2,1.0,1.0,1.0,True,True,True,False,True,True,False,False,669.0,1,1125,361,3,3,4.0,5.0,4.67,4.0,4.67,5.0,4.0,True,32,2.05
21196,6.85e+17,within an hour,1.0,1.0,False,1,True,True,CuauhtÃ©moc,19.4157409,-99.1682203,Entire home/apt,6,2.0,3.0,4.0,True,False,False,False,True,False,False,False,3570.0,2,1125,337,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,True,1,0.0
21199,6.85e+17,within an hour,0.99,1.0,True,17,True,True,CuauhtÃ©moc,19.41211593,-99.17230877,Entire home/apt,2,1.0,1.0,1.0,True,False,False,False,False,False,True,True,3138.0,1,365,328,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,True,17,0.0
21201,6.85e+17,within an hour,1.0,0.98,False,16,True,True,CuauhtÃ©moc,19.41275905,-99.16622221,Entire home/apt,8,5.0,5.0,6.0,True,False,False,False,True,False,True,False,3500.0,1,365,361,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,True,13,0.0
21202,6.85e+17,within an hour,1.0,0.99,False,38,True,True,CuauhtÃ©moc,19.449825,-99.1625455,Entire home/apt,2,1.0,1.0,1.0,True,True,True,False,True,True,False,False,631.0,1,1125,357,3,3,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,32,1.91
21205,6.86e+17,within an hour,1.0,1.0,True,73,True,True,CuauhtÃ©moc,19.4311389,-99.1603939,Entire home/apt,2,1.0,1.0,1.0,True,False,False,False,False,False,False,False,891.0,1,30,85,10,10,5.0,5.0,5.0,4.9,5.0,5.0,4.9,True,59,6.12
21206,6.86e+17,within an hour,1.0,1.0,True,9,True,True,CuauhtÃ©moc,19.40733408,-99.17097683,Entire home/apt,2,2.0,1.0,1.0,True,False,False,False,True,False,True,True,1643.0,1,365,320,1,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,8,1.0
21207,6.86e+17,within an hour,1.0,1.0,False,4,True,True,CuauhtÃ©moc,19.42114847,-99.17042351,Entire home/apt,2,1.0,1.0,1.0,True,False,True,False,False,False,True,False,1854.0,1,365,328,2,2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,3,2.0
21208,6.86e+17,within an hour,1.0,1.0,True,73,True,True,CuauhtÃ©moc,19.4311389,-99.1603939,Entire home/apt,3,1.0,1.0,2.0,True,False,False,False,False,False,False,False,1026.0,1,30,59,8,8,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,59,5.0
21209,6.87e+17,within an hour,1.0,1.0,True,73,True,True,CuauhtÃ©moc,19.4311389,-99.1603939,Entire home/apt,2,1.0,1.0,1.0,True,False,False,False,False,False,False,False,830.0,1,30,81,9,9,4.67,4.89,4.78,5.0,4.89,5.0,4.78,True,59,6.28
21210,6.86e+17,within an hour,1.0,0.98,False,16,True,True,Miguel Hidalgo,19.43448068,-99.19027674,Entire home/apt,8,2.0,3.0,5.0,True,True,True,False,True,False,True,False,2000.0,1,365,334,1,1,2.0,2.0,5.0,4.0,4.0,5.0,2.0,True,13,0.63
21211,6.87e+17,within an hour,1.0,1.0,True,73,True,True,CuauhtÃ©moc,19.4311389,-99.1603939,Entire home/apt,3,1.0,1.0,2.0,True,False,False,False,False,False,False,False,941.0,1,30,62,12,12,4.92,5.0,5.0,4.92,4.92,5.0,4.75,True,59,7.5
21212,6.86e+17,within an hour,1.0,0.98,False,16,True,True,Miguel Hidalgo,19.43797639,-99.19140562,Entire home/apt,5,1.5,2.0,2.0,True,False,True,False,True,False,True,False,2000.0,1,365,347,2,2,4.0,4.5,3.5,5.0,4.5,5.0,4.0,True,13,2.0
21213,6.87e+17,within an hour,1.0,1.0,True,73,True,True,CuauhtÃ©moc,19.43198,-99.16073,Entire home/apt,2,1.0,1.0,1.0,True,False,False,False,False,False,False,False,896.0,1,30,80,8,8,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,59,5.71
21214,6.87e+17,within an hour,1.0,1.0,True,73,True,True,CuauhtÃ©moc,19.4311389,-99.1603939,Entire home/apt,2,1.0,1.0,1.0,True,False,False,False,False,False,False,False,780.0,1,30,50,10,10,5.0,5.0,4.8,5.0,5.0,5.0,4.9,True,59,6.25
21215,6.87e+17,within an hour,1.0,1.0,True,73,True,True,CuauhtÃ©moc,19.43181018,-99.15934699,Entire home/apt,2,1.0,1.0,1.0,True,False,False,False,False,False,False,False,916.0,1,30,84,7,7,5.0,5.0,5.0,5.0,5.0,4.86,4.71,True,59,4.38
21216,6.86e+17,within an hour,1.0,1.0,True,3,True,True,CuauhtÃ©moc,19.41348918,-99.17515881,Entire home/apt,4,2.0,2.0,3.0,True,True,True,False,True,False,False,False,2700.0,3,1125,333,1,1,5.0,5.0,4.0,5.0,5.0,5.0,4.0,True,2,1.0
21217,6.87e+17,within an hour,1.0,0.86,False,2,True,True,Benito JuÃ¡rez,19.38492689,-99.1444175,Entire home/apt,1,1.0,1.0,1.0,True,False,False,False,True,False,False,True,550.0,2,40,254,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,False,2,0.0
21219,6.87e+17,within an hour,1.0,1.0,True,5,True,True,CuauhtÃ©moc,19.4288989,-99.16955673,Entire home/apt,16,4.5,6.0,15.0,True,False,False,False,True,False,False,False,14264.0,3,365,345,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,False,4,0.0
21220,6.86e+17,within an hour,1.0,1.0,False,1,True,True,Ãlvaro ObregÃ³n,19.3594741,-99.2080184,Entire home/apt,4,2.5,2.0,2.0,True,True,True,False,True,False,False,False,1000.0,1,365,281,1,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,1,0.71
21221,6.87e+17,within a few hours,1.0,1.0,False,2,True,True,Tlalpan,19.29198029,-99.1450265,Entire home/apt,1,1.0,1.0,1.0,True,False,False,False,False,False,False,False,900.0,1,365,302,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,False,1,0.0
21224,6.86e+17,within an hour,1.0,1.0,False,68,True,True,Benito JuÃ¡rez,19.36618,-99.15209,Entire home/apt,4,2.0,2.0,3.0,True,False,False,False,False,False,True,False,783.0,2,28,8,6,6,5.0,5.0,5.0,4.83,4.83,4.83,5.0,True,43,4.09
21226,6.86e+17,within an hour,1.0,1.0,True,7,True,True,CuauhtÃ©moc,19.41949317,-99.1676737,Entire home/apt,5,1.0,1.0,4.0,True,True,True,False,True,True,True,False,1683.0,1,365,362,6,6,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,6,4.5
21227,6.87e+17,within an hour,1.0,1.0,False,6,True,True,Miguel Hidalgo,19.40044341,-99.17198897,Entire home/apt,2,1.0,1.0,1.0,True,True,False,False,True,False,False,True,750.0,2,365,361,3,3,5.0,4.67,5.0,5.0,5.0,5.0,4.33,True,3,2.81
21228,6.87e+17,within an hour,1.0,1.0,True,43,True,True,Benito JuÃ¡rez,19.40404698,-99.15093155,Entire home/apt,4,1.0,1.0,2.0,False,False,False,False,True,False,False,False,521.0,2,1125,252,5,5,4.2,4.2,4.2,4.2,3.8,4.2,4.0,True,33,3.95
21229,6.86e+17,within an hour,0.95,0.85,False,14,True,True,CuauhtÃ©moc,19.4303247,-99.1628374,Entire home/apt,2,1.0,1.0,1.0,True,False,False,False,False,False,False,False,750.0,1,365,357,6,6,4.5,4.5,4.67,4.5,4.33,5.0,4.17,True,14,3.75
21230,6.86e+17,within an hour,1.0,1.0,True,29,True,True,CuauhtÃ©moc,19.4157998,-99.1678014,Entire home/apt,4,1.0,2.0,3.0,True,False,False,False,True,False,False,False,1269.0,2,365,354,1,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,28,1.0
21232,6.86e+17,within an hour,1.0,1.0,False,1,True,True,Benito JuÃ¡rez,19.38909991,-99.14722315,Entire home/apt,2,1.0,1.0,1.0,True,False,False,False,True,False,False,False,600.0,2,28,140,2,2,4.5,5.0,4.5,5.0,5.0,4.5,5.0,True,1,2.0
21233,6.87e+17,unknown,0.0,0.0,False,1,True,True,Benito JuÃ¡rez,19.38164356,-99.15517631,Entire home/apt,3,2.0,2.0,2.0,True,False,False,False,True,False,False,True,700.0,1,365,208,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,True,1,0.0
21235,6.87e+17,within an hour,1.0,1.0,False,6,True,True,Miguel Hidalgo,19.4012784,-99.1726263,Entire home/apt,2,1.0,1.0,1.0,True,True,False,False,True,False,False,True,780.0,2,1125,364,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,True,3,0.0
21236,6.87e+17,within an hour,1.0,1.0,False,11,True,True,CuauhtÃ©moc,19.40764383,-99.18001127,Entire home/apt,6,2.0,2.0,5.0,False,True,False,True,True,True,True,True,907.0,2,365,346,3,3,5.0,5.0,5.0,5.0,5.0,5.0,4.67,True,9,2.25
21238,6.87e+17,within an hour,1.0,0.96,False,25,True,True,CuauhtÃ©moc,19.41219631,-99.1742611,Entire home/apt,4,2.0,2.0,3.0,True,True,False,False,False,True,False,False,1450.0,2,7,55,1,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,25,1.0
21239,6.86e+17,within a few hours,1.0,0.54,True,2,True,True,La Magdalena Contreras,19.30941034,-99.2262108,Entire home/apt,3,1.0,1.0,1.0,True,False,False,False,False,False,True,False,1900.0,7,90,90,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,True,1,0.0
21240,6.87e+17,within an hour,1.0,1.0,False,1,True,True,Miguel Hidalgo,19.4093417,-99.188914,Entire home/apt,3,1.0,1.0,3.0,True,False,False,False,True,False,False,False,850.0,1,1125,324,3,3,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,1,2.2
21242,6.86e+17,within an hour,1.0,0.88,False,4,True,True,CuauhtÃ©moc,19.43484352,-99.16759895,Entire home/apt,5,2.5,2.0,2.0,True,False,False,False,True,False,False,True,999.0,2,30,360,1,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,4,1.0
21246,6.86e+17,within an hour,1.0,1.0,False,58,True,True,CuauhtÃ©moc,19.4194722,-99.1555394,Entire home/apt,5,1.0,2.0,5.0,True,False,False,False,True,False,True,False,1147.0,1,365,362,7,7,2.57,2.57,3.71,3.0,2.57,4.43,3.0,True,58,5.12
21248,6.87e+17,within an hour,1.0,0.95,True,3,True,True,Benito JuÃ¡rez,19.39820639,-99.13146048,Entire home/apt,3,1.5,2.0,2.0,True,False,False,False,True,False,False,False,749.0,3,365,280,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,False,3,0.0
21249,6.88e+17,within an hour,1.0,1.0,False,10,True,True,Azcapotzalco,19.47890806,-99.18937985,Entire home/apt,2,1.0,1.0,1.0,True,False,False,False,True,False,False,False,450.0,1,365,331,8,8,5.0,5.0,5.0,5.0,5.0,5.0,4.75,True,10,6.32
21250,6.86e+17,within an hour,1.0,1.0,False,58,True,True,CuauhtÃ©moc,19.4194722,-99.1555394,Entire home/apt,5,1.0,2.0,4.0,True,False,False,False,True,False,True,False,1217.0,1,365,357,7,7,2.43,2.43,3.14,2.71,3.29,3.71,2.43,True,58,4.67
21251,6.86e+17,within an hour,1.0,1.0,False,58,True,True,CuauhtÃ©moc,19.4214023,-99.1628915,Entire home/apt,6,1.0,2.0,4.0,True,False,False,False,True,False,True,False,1166.0,1,365,359,4,4,3.25,3.25,3.25,3.5,3.25,3.5,3.25,True,58,2.55
