,id,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms_text,bedrooms,beds,amenities,wifi,private_entrance,closet,cable_tv,dedicated_workspace,smart_lock,smoke_alarm,security_cameras,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month
24437,6.91e+17,within an hour,1.0,0.86,False,3.0,True,True,Leblon,-22.985172,-43.2337721,Shared room,2,1.0,1.0,1.0,"[""Dryer"", ""Dedicated workspace"", ""Cooking basics"", ""Iron"", ""Building staff"", ""Refrigerator"", ""Coffee maker"", ""Wifi"", ""Dishes and silverware"", ""Kitchen"", ""EV charger"", ""HDTV with Netflix"", ""Free parking on premises""]",True,False,False,False,True,False,False,False,87,4,21,346,1,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,2,1.0
24454,6.92e+17,a few days or more,0.3,0.67,False,3.0,True,False,Copacabana,-22.968344,-43.1839806,Shared room,2,1.0,1.0,1.0,"[""Bed linens"", ""Hot water"", ""Wifi"", ""TV""]",True,False,False,False,False,False,False,False,200,1,15,294,1,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,3,1.0
24517,6.94e+17,within a few hours,1.0,0.83,False,1.0,True,True,Recreio dos Bandeirantes,-23.0222613,-43.4852086,Shared room,4,2.0,1.0,3.0,"[""Air conditioning"", ""Fire extinguisher"", ""Pool"", ""Washer"", ""Outdoor dining area"", ""Smoke alarm"", ""Wifi"", ""Outdoor shower"", ""Pool table"", ""BBQ grill"", ""Kitchen"", ""Long term stays allowed"", ""TV"", ""Free parking on premises""]",True,False,False,False,False,False,True,False,200,1,365,365,3,3,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,1,3.0
24576,6.93e+17,within a few hours,1.0,0.75,False,6.0,True,True,GlÃ³ria,-22.9207204,-43.1788024,Shared room,4,1.0,1.0,3.0,"[""Wifi"", ""Long term stays allowed"", ""Kitchen""]",True,False,False,False,False,False,False,False,250,1,365,365,1,1,3.0,3.0,3.0,5.0,5.0,5.0,3.0,True,6,1.0
24638,6.94e+17,within an hour,1.0,0.96,False,9.0,True,False,Cidade de Deus,-22.9525152,-43.3553033,Shared room,9,1.0,1.0,2.0,"[""Cable TV"", ""Air conditioning"", ""Washer"", ""Wifi"", ""BBQ grill"", ""Long term stays allowed"", ""Kitchen"", ""TV with standard cable"", ""Free parking on premises""]",True,False,False,True,False,False,False,False,300,1,365,365,0,0,4.72,4.8,4.72,4.88,4.87,4.87,4.68,True,9,0.0
24641,6.96e+17,within an hour,1.0,0.87,False,15.0,True,True,Copacabana,-22.974607,-43.1902141,Shared room,12,1.0,1.0,1.0,"[""Air conditioning"", ""Outdoor dining area"", ""Wifi"", ""Outdoor shower"", ""Long term stays allowed"", ""Kitchen""]",True,False,False,False,False,False,False,False,100000,1,365,365,0,0,4.72,4.8,4.72,4.88,4.87,4.87,4.68,False,13,0.0
24682,6.95e+17,within an hour,1.0,1.0,False,2.0,True,True,Centro,-22.9158968,-43.1776348,Shared room,2,1.0,1.0,2.0,"[""Washer"", ""Wifi"", ""Long term stays allowed"", ""Kitchen"", ""TV""]",True,False,False,False,False,False,False,False,195,1,365,364,1,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,2,1.0
24730,6.96e+17,within a few hours,1.0,0.83,False,4.0,True,True,Santa Teresa,-22.9145396,-43.1812043,Shared room,5,1.0,1.0,5.0,"[""Fire extinguisher"", ""Cooking basics"", ""Iron"", ""Microwave"", ""Washer"", ""Refrigerator"", ""Beach essentials"", ""Building staff"", ""Security cameras on property"", ""Dishes and silverware"", ""Stove"", ""TV""]",False,False,False,False,False,False,False,True,250,3,10,0,0,0,4.72,4.8,4.72,4.88,4.87,4.87,4.68,False,4,0.0
24823,6.96e+17,within an hour,1.0,0.96,False,9.0,True,False,GardÃªnia Azul,-22.953899,-43.3550304,Shared room,3,1.0,1.0,2.0,"[""Cable TV"", ""Air conditioning"", ""Washer"", ""Wifi"", ""BBQ grill"", ""Long term stays allowed"", ""Kitchen"", ""TV with standard cable"", ""Free parking on premises""]",True,False,False,True,False,False,False,False,300,1,365,365,1,1,1.0,1.0,1.0,5.0,3.0,5.0,1.0,True,9,1.0
24830,6.96e+17,within an hour,0.83,1.0,False,1.0,True,True,Cosmos,-22.9187851,-43.6155364,Shared room,1,1.0,1.0,2.0,"[""Free street parking"", ""Iron"", ""Essentials"", ""Microwave"", ""Room-darkening shades"", ""Dining table"", ""Toaster"", ""Consul electric stove"", ""Kitchen"", ""Shared outdoor pool - available all year, open specific hours, lap pool, sun loungers"", ""Free dryer \u2013 In unit"", ""Bed linens"", ""Cooking basics"", ""Hair dryer"", ""55\"" HDTV with Amazon Prime Video, HBO Max, Netflix, premium cable, standard cable"", ""Ethernet connection"", ""Luggage dropoff allowed"", ""Clothing storage: wardrobe"", ""BBQ grill"", ""Wine glasses"", ""Freezer"", ""Free parking garage on premises \u2013 1 space"", ""Cable TV"", ""Shared fenced garden or backyard"", ""Hangers"", ""Free washer \u2013 In unit"", ""Extra pillows and blankets"", ""Laundromat nearby"", ""Beachfront"", ""Drying rack for clothing"", ""Hot water kettle"", ""Fire extinguisher"", ""Fast wifi \u2013 272 Mbps"", ""Portable fans"", ""First aid kit"", ""Venax oven"", ""Baking sheet"", ""Coffee maker"", ""Barbecue utensils"", ""AC - split type ductless system"", ""Brastemp  refrigerator"", ""Hot water"", ""Outdoor shower"", ""Long term stays allowed"", ""Dishes and silverware"", ""Sondbar tcl sound system with Bluetooth and aux"", ""Paid parking lot off premises""]",False,False,True,True,False,False,False,False,86,1,365,365,2,2,5.0,5.0,5.0,5.0,5.0,4.5,5.0,True,1,2.0
24952,6.98e+17,within a few hours,0.97,0.96,False,13.0,True,True,JacarepaguÃ¡,-22.9643235,-43.4031955,Shared room,2,2.0,1.0,1.0,"[""Air conditioning"", ""Breakfast"", ""Essentials"", ""Pool"", ""BBQ grill"", ""Long term stays allowed""]",False,False,False,False,False,False,False,False,240,1,365,365,4,4,5.0,5.0,4.5,5.0,5.0,5.0,5.0,False,12,4.0
24966,6.99e+17,within an hour,1.0,0.96,False,9.0,True,False,GardÃªnia Azul,-22.9542398,-43.3531421,Shared room,11,3.0,1.0,7.0,"[""Air conditioning"", ""Washer"", ""Wifi"", ""Long term stays allowed"", ""Kitchen"", ""TV""]",True,False,False,False,False,False,False,False,300,1,365,365,0,0,4.72,4.8,4.72,4.88,4.87,4.87,4.68,True,9,0.0
24972,6.99e+17,within an hour,1.0,0.96,False,9.0,True,False,Cidade de Deus,-22.9524791,-43.3551378,Shared room,11,3.0,1.0,7.0,"[""Air conditioning"", ""Washer"", ""Refrigerator"", ""Wifi"", ""Long term stays allowed"", ""Kitchen"", ""TV""]",True,False,False,False,False,False,False,False,300,1,365,365,1,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,9,1.0
25037,7e+17,within an hour,1.0,1.0,False,11.0,True,False,Engenho Novo,-22.9043752,-43.269553,Shared room,16,4.0,1.0,5.0,"[""Air conditioning"", ""Fire extinguisher"", ""Hangers"", ""Iron"", ""Essentials"", ""Washer"", ""Breakfast"", ""Hot water"", ""Wifi"", ""Long term stays allowed"", ""Kitchen"", ""TV"", ""Free parking on premises""]",True,False,False,False,False,False,False,False,71,1,365,363,0,0,4.72,4.8,4.72,4.88,4.87,4.87,4.68,True,11,0.0
25056,7e+17,within a few hours,0.75,0.61,False,4.0,True,True,Botafogo,-22.949803,-43.183889,Shared room,3,1.0,1.0,1.0,"[""HDTV with premium cable"", ""Heating"", ""Iron"", ""Essentials"", ""Microwave"", ""Window AC unit"", ""Kitchen"", ""Elevator"", ""Bed linens"", ""Cooking basics"", ""Hair dryer"", ""Oven"", ""Wifi"", ""Hangers"", ""Free washer \u2013 In unit"", ""Ceiling fan"", ""Coffee maker"", ""Cleaning products"", ""Long term stays allowed"", ""Dishes and silverware"", ""Gas stove""]",True,False,False,False,False,False,False,False,500,1,365,365,0,0,4.72,4.8,4.72,4.88,4.87,4.87,4.68,False,3,0.0
25135,7.01e+17,within an hour,1.0,0.98,False,4.0,True,True,Copacabana,-22.9646978,-43.1889534,Shared room,1,2.0,1.0,1.0,"[""Air conditioning"", ""Outdoor dining area"", ""Security cameras on property"", ""Wifi"", ""Long term stays allowed"", ""TV""]",True,False,False,False,False,False,False,True,72,1,365,282,5,5,4.6,4.8,4.8,5.0,5.0,4.8,4.4,True,4,5.0
25191,7.02e+17,within an hour,1.0,1.0,False,3.0,True,True,Penha,-22.8346944,-43.2776709,Shared room,1,2.0,1.0,2.0,"[""Free street parking"", ""Iron"", ""Essentials"", ""Microwave"", ""Room-darkening shades"", ""Dining table"", ""Toaster"", ""Kitchen"", ""Host greets you"", ""Bed linens"", ""Cooking basics"", ""Luggage dropoff allowed"", ""Cleaning before checkout"", ""Oven"", ""Wifi"", ""BBQ grill"", ""Wine glasses"", ""TV with standard cable"", ""Body soap"", ""Cable TV"", ""Extra pillows and blankets"", ""Laundromat nearby"", ""Refrigerator"", ""Ceiling fan"", ""Drying rack for clothing"", ""First aid kit"", ""Barbecue utensils"", ""Coffee maker"", ""Cleaning products"", ""Shared patio or balcony"", ""Hot water"", ""Dishes and silverware"", ""Backyard"", ""Stove""]",True,False,False,True,False,False,False,False,150,1,7,89,1,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,3,1.0
25238,7.01e+17,within an hour,1.0,1.0,False,1.0,False,True,Curicica,-22.94443,-43.37805,Shared room,2,1.0,1.0,1.0,"[""Luggage dropoff allowed"", ""Washer"", ""Host greets you"", ""Outdoor dining area"", ""Wifi"", ""BBQ grill"", ""Long term stays allowed"", ""Kitchen"", ""TV""]",True,False,False,False,False,False,False,False,130,1,1125,365,4,4,5.0,4.75,5.0,5.0,5.0,4.5,4.75,True,1,4.0
25246,7.03e+17,within an hour,1.0,0.96,False,9.0,True,False,GardÃªnia Azul,-22.9569901,-43.3538654,Shared room,4,1.0,1.0,1.0,"[""Air conditioning"", ""Wifi"", ""TV"", ""Long term stays allowed""]",True,False,False,False,False,False,False,False,300,1,365,365,2,2,5.0,5.0,5.0,5.0,5.0,4.0,4.5,True,9,2.0
25254,7.04e+17,within an hour,1.0,0.86,False,2.0,True,False,Jardim Sulacap,-22.89385,-43.39654,Shared room,5,1.0,1.0,4.0,"[""Dedicated workspace"", ""Wifi"", ""Long term stays allowed"", ""Kitchen"", ""TV""]",True,False,False,False,True,False,False,False,136,1,365,365,0,0,4.72,4.8,4.72,4.88,4.87,4.87,4.68,True,2,0.0
25255,7.03e+17,within an hour,1.0,0.96,False,9.0,True,False,Cidade de Deus,-22.9529238,-43.3551133,Shared room,11,3.0,1.0,7.0,"[""Air conditioning"", ""Washer"", ""Refrigerator"", ""Wifi"", ""Long term stays allowed"", ""Kitchen"", ""TV""]",True,False,False,False,False,False,False,False,300,1,365,365,2,2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,9,2.0
25263,7.04e+17,within an hour,1.0,0.0,False,1.0,True,False,Pedra de Guaratiba,-23.0000039,-43.6387361,Shared room,4,1.0,1.0,4.0,"[""Pool"", ""Washer"", ""Coffee maker"", ""Refrigerator"", ""Wifi"", ""Outdoor shower"", ""BBQ grill"", ""Long term stays allowed"", ""Kitchen"", ""Patio or balcony"", ""TV""]",True,False,False,False,False,False,False,False,60,1,365,364,0,0,4.72,4.8,4.72,4.88,4.87,4.87,4.68,True,1,0.0
25314,7.02e+17,within an hour,0.76,1.0,False,13.0,True,True,Copacabana,-22.96534,-43.17373,Shared room,1,1.0,1.0,8.0,"[""Air conditioning"", ""Luggage dropoff allowed"", ""Essentials"", ""Building staff"", ""Security cameras on property"", ""Wifi"", ""Long term stays allowed"", ""Elevator""]",True,False,False,False,False,False,False,True,73,1,365,38,1,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,13,1.0
25315,7.02e+17,within an hour,0.76,1.0,False,13.0,True,True,Copacabana,-22.963532,-43.1754196,Shared room,1,1.0,1.0,12.0,"[""Air conditioning"", ""Luggage dropoff allowed"", ""Essentials"", ""Building staff"", ""Security cameras on property"", ""Wifi"", ""Long term stays allowed"", ""Elevator""]",True,False,False,False,False,False,False,True,68,1,365,40,0,0,4.72,4.8,4.72,4.88,4.87,4.87,4.68,True,13,0.0
