,id,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms_text,bedrooms,beds,wifi,private_entrance,closet,cable_tv,dedicated_workspace,smart_lock,smoke_alarm,security_cameras,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month
19639,6.41e+17,within an hour,1.0,1.0,False,10,True,True,Miguel Hidalgo,19.43186,-99.18371,Private room,2,1.0,1.0,1.0,True,False,False,False,True,False,False,False,998.0,2,365,348,4,4,4.75,5.0,5.0,5.0,5.0,5.0,5.0,True,5,1.08
19641,6.41e+17,within an hour,0.99,1.0,False,56,True,True,CuauhtÃ©moc,19.41453,-99.15458,Private room,4,1.0,1.0,2.0,True,False,True,False,False,False,False,False,245.0,2,365,356,4,4,4.75,4.75,4.75,5.0,4.75,5.0,5.0,True,56,1.82
19643,6.41e+17,within an hour,1.0,0.96,False,5,True,True,Xochimilco,19.28663,-99.12032,Private room,2,1.5,1.0,1.0,True,True,True,False,True,False,False,False,414.0,1,30,86,11,11,4.55,4.82,4.55,4.82,4.91,4.64,4.64,False,5,3.4
19644,6.39e+17,a few days or more,0.0,1.0,False,2,True,False,Benito JuÃ¡rez,19.38457,-99.1802,Private room,4,2.0,2.0,2.0,True,False,False,False,False,False,False,True,5000.0,1,365,365,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,True,1,0.0
19645,6.41e+17,within an hour,0.99,1.0,False,56,True,True,CuauhtÃ©moc,19.41639,-99.15445,Private room,2,1.0,1.0,1.0,True,False,False,False,False,False,False,False,255.0,2,365,358,7,7,4.71,4.86,4.29,4.86,4.43,5.0,4.86,True,56,2.33
19647,6.41e+17,within an hour,1.0,1.0,True,4,True,False,CoyoacÃ¡n,19.35494,-99.16285,Private room,2,1.0,1.0,1.0,True,True,False,False,True,False,False,False,950.0,2,365,51,11,11,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,4,3.08
19649,6.39e+17,within an hour,1.0,1.0,True,4,True,True,Cuajimalpa de Morelos,19.35929,-99.27076,Private room,1,1.0,1.0,1.0,True,False,False,False,False,False,False,False,500.0,7,365,15,1,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,4,1.0
19652,6.39e+17,within a few hours,1.0,1.0,False,2,True,True,Miguel Hidalgo,19.43757437,-99.18378799,Private room,2,1.0,1.0,1.0,False,False,True,False,True,False,False,False,800.0,2,90,81,2,2,4.5,5.0,4.5,5.0,5.0,5.0,4.5,False,2,2.0
19653,6.41e+17,within an hour,0.99,1.0,True,15,True,True,Miguel Hidalgo,19.44104,-99.20072,Private room,2,1.5,1.0,1.0,False,True,False,False,True,False,True,False,1111.0,1,365,360,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,True,15,0.0
19656,6.39e+17,within an hour,1.0,1.0,True,12,True,True,CuauhtÃ©moc,19.409189,-99.167007,Private room,2,1.0,1.0,1.0,True,True,False,False,True,False,True,False,550.0,1,365,352,15,15,4.47,4.53,4.67,4.67,4.87,4.73,4.4,True,10,3.98
19657,6.41e+17,unknown,0.0,0.0,False,1,True,True,Benito JuÃ¡rez,19.4009405,-99.1628699,Private room,1,1.0,1.0,1.0,False,False,False,False,False,False,False,False,850.0,1,365,365,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,True,1,0.0
19659,6.41e+17,within an hour,1.0,0.5,False,2,True,True,Iztapalapa,19.3481172,-99.1151223,Private room,2,1.0,1.0,1.0,True,False,True,False,True,False,False,False,203.0,1,28,48,1,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,2,0.73
19666,6.41e+17,within a day,0.8,1.0,False,2,True,False,Benito JuÃ¡rez,19.38063,-99.15061,Private room,1,1.0,2.0,2.0,True,False,False,False,True,False,False,True,201.0,2,1125,365,2,2,3.0,3.0,3.0,3.0,3.0,3.0,3.0,True,2,0.56
19669,6.41e+17,within an hour,1.0,1.0,False,11,True,True,CuauhtÃ©moc,19.44268,-99.13994,Private room,2,3.0,1.0,1.0,True,False,False,False,True,False,False,False,300.0,1,365,364,3,3,4.0,4.0,4.0,4.67,4.33,4.67,4.0,True,11,1.06
19672,6.41e+17,within an hour,1.0,1.0,False,11,True,True,CuauhtÃ©moc,19.44318,-99.14007,Private room,6,3.0,1.0,6.0,True,False,False,False,True,False,False,False,240.0,1,365,364,5,5,4.4,4.0,4.0,5.0,5.0,4.6,4.0,True,11,1.55
19678,6.41e+17,within an hour,1.0,0.99,False,11,True,False,Miguel Hidalgo,19.43221,-99.1812,Private room,2,1.0,1.0,1.0,True,False,False,False,False,False,True,True,1560.0,1,365,351,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,True,11,0.0
19679,6.42e+17,within a few hours,1.0,1.0,False,6,True,True,Benito JuÃ¡rez,19.39043,-99.15711,Private room,1,1.0,1.0,1.0,False,False,False,False,True,False,False,False,349.0,5,365,90,1,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,3,0.35
19680,6.41e+17,within an hour,1.0,0.99,False,11,True,False,Miguel Hidalgo,19.43061,-99.18115,Private room,2,1.0,1.0,1.0,True,False,False,False,False,False,True,False,1100.0,1,365,348,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,True,11,0.0
19682,6.42e+17,within a few hours,0.75,0.67,False,1,True,True,CuauhtÃ©moc,19.4363293,-99.1635835,Private room,2,1.0,1.0,1.0,True,False,False,False,True,False,False,False,596.0,1,365,0,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,True,1,0.0
